,matrix,fontname,adv,upright,x0,y0,x1,y1,width,height,size,mcid,tag,object_type,page_number,ncs,text,stroking_color,non_stroking_color,top,bottom,doctop,document_number
61,"(12.0, 0.0, 0.0, 12.0, 173.59920000000005, 659.34)",TimesNewRomanPSMT,0.333,True,173.59920000000005,656.748,177.59520000000006,668.748,3.9960000000000093,12.0,12.0,,,char,1,DeviceGray,r,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
62,"(12.0, 0.0, 0.0, 12.0, 177.60360000000006, 659.34)",TimesNewRomanPSMT,0.444,True,177.60360000000006,656.748,182.93160000000006,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,a,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
63,"(12.0, 0.0, 0.0, 12.0, 182.94000000000005, 659.34)",TimesNewRomanPSMT,0.444,True,182.94000000000005,656.748,188.26800000000006,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,c,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
64,"(12.0, 0.0, 0.0, 12.0, 188.27640000000008, 659.34)",TimesNewRomanPSMT,0.5,True,188.27640000000008,656.748,194.27640000000008,668.748,6.0,12.0,12.0,,,char,1,DeviceGray,k,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
65,"(12.0, 0.0, 0.0, 12.0, 194.28480000000008, 659.34)",TimesNewRomanPSMT,0.444,True,194.28480000000008,656.748,199.61280000000008,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
66,"(12.0, 0.0, 0.0, 12.0, 199.62120000000007, 659.34)",TimesNewRomanPSMT,0.278,True,199.62120000000007,656.748,202.95720000000009,668.748,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
67,"(12.0, 0.0, 0.0, 12.0, 202.96560000000008, 659.34)",TimesNewRomanPSMT,0.389,True,202.96560000000008,656.748,207.6336000000001,668.748,4.668000000000006,12.0,12.0,,,char,1,DeviceGray,s,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
68,"(12.0, 0.0, 0.0, 12.0, 207.64200000000008, 659.34)",TimesNewRomanPSMT,0.333,True,207.64200000000008,656.748,211.6380000000001,668.748,3.9960000000000093,12.0,12.0,,,char,1,DeviceGray,],"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
69,"(12.0, 0.0, 0.0, 12.0, 211.59840000000008, 659.34)",TimesNewRomanPSMT,0.25,True,211.59840000000008,656.748,214.59840000000008,668.748,3.0,12.0,12.0,,,char,1,DeviceGray,.,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
70,"(12.0, 0.0, 0.0, 12.0, 214.60680000000008, 659.34)",TimesNewRomanPSMT,0.25,True,214.60680000000008,656.748,217.60680000000008,668.748,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
71,"(12.0, 0.0, 0.0, 12.0, 90.0, 645.4200000000001)",TimesNewRomanPS-BoldMT,0.25,True,90.0,642.8280000000001,93.0,654.8280000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",137.1719999999999,149.1719999999999,137.1719999999999,4
72,"(12.0, 0.0, 0.0, 12.0, 90.0, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.722,True,90.0,629.0280000000001,98.664,641.0280000000001,8.664000000000001,12.0,12.0,,,char,1,DeviceGray,R,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
73,"(12.0, 0.0, 0.0, 12.0, 98.6652, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.556,True,98.6652,629.0280000000001,105.3372,641.0280000000001,6.671999999999997,12.0,12.0,,,char,1,DeviceGray,u,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
74,"(12.0, 0.0, 0.0, 12.0, 105.33840000000001, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.278,True,105.33840000000001,629.0280000000001,108.6744,641.0280000000001,3.3359999999999985,12.0,12.0,,,char,1,DeviceGray,l,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
75,"(12.0, 0.0, 0.0, 12.0, 108.6756, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.444,True,108.6756,629.0280000000001,114.0036,641.0280000000001,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
76,"(12.0, 0.0, 0.0, 12.0, 114.0048, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.25,True,114.0048,629.0280000000001,117.0048,641.0280000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
77,"(12.0, 0.0, 0.0, 12.0, 116.99880000000002, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.5,True,116.99880000000002,629.0280000000001,122.99880000000002,641.0280000000001,6.0,12.0,12.0,,,char,1,DeviceGray,1,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
78,"(12.0, 0.0, 0.0, 12.0, 123.00000000000001, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.5,True,123.00000000000001,629.0280000000001,129.0,641.0280000000001,5.999999999999986,12.0,12.0,,,char,1,DeviceGray,2,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
79,"(12.0, 0.0, 0.0, 12.0, 129.0012, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.5,True,129.0012,629.0280000000001,135.0012,641.0280000000001,6.0,12.0,12.0,,,char,1,DeviceGray,2,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
80,"(12.0, 0.0, 0.0, 12.0, 135.00240000000002, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.25,True,135.00240000000002,629.0280000000001,138.00240000000002,641.0280000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
81,"(12.0, 0.0, 0.0, 12.0, 137.99640000000002, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.333,True,137.99640000000002,629.0280000000001,141.99240000000003,641.0280000000001,3.9960000000000093,12.0,12.0,,,char,1,DeviceGray,-,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
82,"(12.0, 0.0, 0.0, 12.0, 141.99360000000001, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.25,True,141.99360000000001,629.0280000000001,144.99360000000001,641.0280000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
83,"(12.0, 0.0, 0.0, 12.0, 144.98760000000001, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.667,True,144.98760000000001,629.0280000000001,152.9916,641.0280000000001,8.00399999999999,12.0,12.0,,,char,1,DeviceGray,E,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
84,"(12.0, 0.0, 0.0, 12.0, 152.9928, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.556,True,152.9928,629.0280000000001,159.66479999999999,641.0280000000001,6.671999999999997,12.0,12.0,,,char,1,DeviceGray,q,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
85,"(12.0, 0.0, 0.0, 12.0, 159.666, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.556,True,159.666,629.0280000000001,166.338,641.0280000000001,6.671999999999997,12.0,12.0,,,char,1,DeviceGray,u,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
86,"(12.0, 0.0, 0.0, 12.0, 166.3392, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.278,True,166.3392,629.0280000000001,169.67520000000002,641.0280000000001,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,i,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
87,"(12.0, 0.0, 0.0, 12.0, 169.6764, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.333,True,169.6764,629.0280000000001,173.6724,641.0280000000001,3.9960000000000093,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
88,"(12.0, 0.0, 0.0, 12.0, 173.6736, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.278,True,173.6736,629.0280000000001,177.0096,641.0280000000001,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,i,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
89,"(12.0, 0.0, 0.0, 12.0, 177.0108, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.444,True,177.0108,629.0280000000001,182.3388,641.0280000000001,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
90,"(12.0, 0.0, 0.0, 12.0, 182.33999999999997, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.389,True,182.33999999999997,629.0280000000001,187.00799999999998,641.0280000000001,4.668000000000006,12.0,12.0,,,char,1,DeviceGray,s,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
91,"(12.0, 0.0, 0.0, 12.0, 187.0092, 631.6200000000001)",TimesNewRomanPS-BoldMT,0.25,True,187.0092,629.0280000000001,190.0092,641.0280000000001,3.0,12.0,12.0,,,char,1,DeviceGray,.,"(0,)","(0,)",150.97199999999987,162.97199999999987,150.97199999999987,4
